№,CMS,FTP,サイトマップ,第2階層,第3階層,第4階層,フルURL,ページ説明,列10,列11,運用対象コンテンツ,更新頻度,更新頻度・備考,情報主幹部署,担当者,コンテンツ予算管理部署,デジ変担当者,開発担当,デザイン制作,運用会社,運用会社担当,アプリ,赤ナビ,共通ヘッダー/フッター,デザインシステム準拠,デザインシステムver,リニューアル予定,削除確認,入力者,備考,移行先,列33,転記元
388.0,〇,,その他フッターなど,aushop,,,https://toyota.jp/aushop/,aushop,,,,,,国内営業部,,,,無,TQP,TQP,島田（直,静的,,◯,☓,,,確認済み,,,,,
389.0,〇,,,,service,,https://toyota.jp/aushop/service/index.html,,aushop行ってみた,,,,,国内営業部,,,,無,TQP,TQP,島田（直,静的,,◯,☓,,,確認済み,,,,,
390.0,〇,,,,search_store,,https://toyota.jp/aushop/search_store/index.html,,取り扱い店舗一覧,,,,,国内営業部,,,,無,TQP,TQP,島田（直,静的,,◯,☓,,,確認済み,,,,,
391.0,〇,,,,uqmobile,,https://toyota.jp/aushop/uqmobile/index.html,,UQモバイル,,,,,国内営業部,,,,無,TQP,TQP,島田（直,静的,,◯,☓,,,確認済み,,,,,
392.0,〇,,,,voice,,https://toyota.jp/aushop/voice/index.html,,お客様の声,,,,,国内営業部,,,,無,TQP,TQP,島田（直,静的,,◯,☓,,,確認済み,,,,,
393.0,〇,,該当なし,maintenance_note,,,https://toyota.jp/maintenance_note/,メンテナンスノート,,,運用なし,,,サービス技術部,,,,,,ITP,,動的,,◯,☓,,,確認済み,,,,,
394.0,〇,,,,,,https://toyota.jp/maintenance_note/search_number.html,,車台番号・登録番号　検索,,データ更新,,,サービス技術部,,,,,,ITP,,動的,,◯,☓,,,確認済み,,,,,
395.0,〇,〇,該当なし,Spapp（アプリ一覧）,digital_key,qrlink,https://toyota.jp/spapp/digital_key/qrlink/,デジタルキーアプリ,,,,,,国内営業部,,,,無,,,,静的,,◯,☓,,,確認済み,,,,,
396.0,〇,〇,,,remotepark,qrlink,https://toyota.jp/spapp/remotepark/qrlink/,Remote Parkアプリ,,,,,,国内営業部,,,,無,,,,静的,,◯,☓,,,確認済み,,,,,
397.0,×,,トヨタのクルマ,shop_data,calendar,,https://toyota.jp/shop_data/calendar/,販売店営業日一覧,,,リンク先の店舗カレンダーが表示されていない,,,デジタル変革推進室（VC基盤開発部）,月岡（TQα）,,,無,,TQP,,静的,,◯,☓,,,確認済み,,,,,
398.0,〇,,該当なし,sapotoyo（用品リニューアルで整理）,commentary,sapotoyoplus,https://toyota.jp/sapotoyo/commentary/sapotoyoplus/,,サポトヨプラス,,"トヨタの安全への取り組みバナー
対応車種一覧",,,国内商品・事業室　（/TMP）,石川,,,無,TQP,TQP,磯村,静的,,◯,☓,,,削除予定,,26年3月で削除,,,
399.0,×,,該当なし,syscommon（見えなくする）,,,https://toyota.jp/syscommon/maintenance.html,サービス一時停止のお知らせ,,,運用なし,,,デジタル変革推進室（VC基盤開発部）,片岡,,,無,,？,,静的,,☓,☓,,,要確認,,デジ変様確認＆削除依頼？,,,
400.0,×,,該当なし,teammate（確認）,,,https://toyota.jp/teammate/map/,,Advanced Drive対応エリアマップ,,？？,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,？？,,☓,☓,,,確認済み,,,,,
401.0,〇,〇,該当なし,madoguchi,,,https://toyota.jp/madoguchi/,トヨタの窓口,,,運用なし,,,国内業務部　事業戦略・人事総括室,三好部長,,,無,TQP,TQP,星山,静的,,◯,☓,,,確認済み,,,,,
402.0,〇,〇,,,service_rentacar,,https://toyota.jp/madoguchi/service_rentacar/,,各コンテンツ,,運用なし,,,国内業務部　事業戦略・人事総括室,三好部長,,,無,TQP,TQP,星山,静的,,◯,☓,,,確認済み,,,,,
403.0,〇,,トヨタのクルマ,safety,,,https://toyota.jp/safety/,トヨタの安全技術,,,車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
404.0,〇,,,,case,01,https://toyota.jp/safety/case/01/,,街中を走るとき,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
405.0,〇,,,,case,02,https://toyota.jp/safety/case/02/index.html,,,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
406.0,〇,,,,case,03,https://toyota.jp/safety/case/03/index.html,,,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
407.0,〇,,,,case,04,https://toyota.jp/safety/case/04/index.html,,,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
408.0,〇,,,,case,05,https://toyota.jp/safety/case/05/index.html,,,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
409.0,〇,,,,case,06,https://toyota.jp/safety/case/06/index.html,,,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
410.0,〇,,,,scene,accident,https://toyota.jp/safety/scene/accident/,,万が一の事故のとき,,トヨタの安全への取り組み　バナー,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
411.0,〇,,,,,condition,https://toyota.jp/safety/scene/condition/,,路面の状態が悪いとき,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
412.0,〇,,,,,highway,https://toyota.jp/safety/scene/highway/,,高速道路を走るとき,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
413.0,〇,,,,,night,https://toyota.jp/safety/scene/night/,,夜間に走るとき,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
414.0,〇,,,,,parking,https://toyota.jp/safety/scene/parking/,,駐車をするとき,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
415.0,〇,,,,,scenes,https://toyota.jp/safety/scene/scenes/,,街中を走るとき（さまざまな状況）,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
416.0,〇,,,,,starting,https://toyota.jp/safety/scene/starting/,,発信・停車をするとき,,対象車両一覧,車種の記発毎,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
417.0,〇,,,,interview,1〜4あり,https://toyota.jp/safety/interview/index.html,,開発者の思い,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
418.0,〇,,,,special,,https://toyota.jp/safety/special01/,,スペシャル,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
419.0,〇,,,,update,,https://toyota.jp/safety/update/index.html,,ソフトウェア・アップデート,,,,,自動運転・先進安全企画部　安全技術企画Gなど技術系各部,各担当,,,無,TQP,TQP,社本,静的,,◯,☓,,,確認済み,,,,,
420.0,〇,,トヨタのクルマ,service,store-search,,https://toyota.jp/service/store-search/dc/search,販売店検索TOP,,,,,,デジタル変革推進室（VC基盤開発部）,,,,,,？,,動的,,◯,☓,,,確認済み,,,,,
421.0,〇,,,,,dc/search?disp=top,https://toyota.jp/service/store-search/dc/map-search/,,検索（地図）,,,,,デジタル変革推進室（VC基盤開発部）,,,,,,？,,動的,,◯,☓,,,確認済み,,,,,
422.0,〇,,,,,,https://toyota.jp/service/store-search/dc/search?mode=trial,,車両一覧（車両から選ぶ）,,対象車両一覧,,,デジタル変革推進室（VC基盤開発部）,,,,,,？,,動的,,◯,☓,,,確認済み,,,,,
423.0,〇,,,,,,https://toyota.jp/service/store-search/dc/map-search,,販売店検索,,,,,デジタル変革推進室（VC基盤開発部）,,,,,,？,,動的,,◯,☓,,,確認済み,,,,,
424.0,〇,,,,tradein,dc/search?disp=top,https://toyota.jp/service/tradein/dc/top,,下取り参考価格シミュレーション,,対象車両一覧,車種の記発毎,,デジタル変革推進室（VC基盤開発部）,,,,,,？,,動的,,◯,☓,,,確認済み,,,,,
